,ID,E_Brent,NE_C1,NE_C2,NE_C3,NE_C4,NE_C5,M1_C1,M2_C1,M2_C2,B44_C1,B44_C2,SW_C1,capex_h,opex_h,produc_h,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
678,678,50,0,0,0,0,0,1,0,1,0,0,0,1,1.1,1,0,3042.3782,0,3042.3782,3042.3782,0.5543768613902293,10205.7367,0,19841.2405,0.0,0.6577619170525392,0.6577619170525392,0.0,0.6577619170525392,0.6577619170525392,2033.0,2033.0,15.8684,15.8684,14.7401,14.7401,7163.7384,9730.7881,2352.2631,22310.4776,21.3098,7163.7384,9730.7881,2352.2631,22310.4776,21.3098
679,679,50,0,0,0,0,0,1,0,1,0,0,1,1,1.1,1,0,20555.0143,0,20555.0143,20555.0143,1.6529703175935508,21088.4247,0,40301.9256,0.0,2.701634057897979,2.701634057897979,0.0,2.701634057897979,2.701634057897979,2045.0,2045.0,11.7258,11.7258,7.1297,7.1297,15418.8763,20004.4283,12511.004,68516.4826,27.1599,15418.8763,20004.4283,12511.004,68516.4826,27.1599
680,680,50,0,0,0,0,0,1,0,1,1,0,0,1,1.1,1,0,15396.1658,0,15396.1658,15396.1658,1.0328565396744223,27444.4049,0,30000.7932,0.0,2.149887440815122,2.149887440815122,0.0,2.149887440815122,2.149887440815122,2042.0,2042.0,10.6054,10.6054,12.0498,12.0498,11954.9602,24672.9929,10087.5036,62165.8472,54.2247,11954.9602,24672.9929,10087.5036,62165.8472,54.2247
681,681,50,0,0,0,0,0,1,0,1,1,0,1,1,1.1,1,0,33349.0138,0,33349.0138,33349.0138,1.537776626396428,38327.0929,0,50461.4782,0.0,4.148864392706729,4.148864392706729,0.0,4.148864392706729,4.148864392706729,2045.0,2045.0,9.5597,9.5597,8.5197,8.5197,18757.6387,34946.6331,20391.666,107506.0613,61.1097,18757.6387,34946.6331,20391.666,107506.0613,61.1097
682,682,50,0,0,0,0,0,1,0,1,0,1,0,1,1.1,1,0,18086.0821,0,18086.0821,18086.0821,1.1407856849204607,28922.842,0,34406.4266,0.0,2.4390740762460377,2.4390740762460377,0.0,2.4390740762460377,2.4390740762460377,2042.0,2042.0,10.7316,10.7316,11.1888,11.1888,13621.221,25954.4788,11521.8696,69237.8761,54.2247,13621.221,25954.4788,11521.8696,69237.8761,54.2247
683,683,50,0,0,0,0,0,1,0,1,0,1,1,1,1.1,1,0,36026.293,0,36026.293,36026.293,1.598190429493582,39805.5301,0,54867.1116,0.0,4.4857701663699725,4.4857701663699725,0.0,4.4857701663699725,4.4857701663699725,2046.0,2046.0,9.9885,9.9885,8.1828,8.1828,20666.9312,36228.119,21872.9499,114849.8474,55.5543,20666.9312,36228.119,21872.9499,114849.8474,55.5543
684,684,50,1,0,0,0,0,0,0,0,0,0,0,1,1.1,1,0,19094.4881,0,19094.4881,19094.4881,3.1980778093992264,9280.0021,0,14727.3757,0.0,1.2788825526146723,1.2788825526146723,0.0,1.2788825526146723,1.2788825526146723,2038.0,2038.0,6.3115,6.3115,6.8935,6.8935,4556.6177,8848.1348,9202.1044,41741.0401,39.6952,4556.6177,8848.1348,9202.1044,41741.0401,39.6952
685,685,50,1,0,0,0,0,0,0,0,0,0,1,1,1.1,1,0,37135.3386,0,37135.3386,37135.3386,2.9456839703962867,20162.6901,0,35188.0607,0.0,3.2478495480596505,3.2478495480596505,0.0,3.2478495480596505,3.2478495480596505,2044.0,2044.0,7.7384,7.7384,5.7118,5.7118,11492.7798,19121.775,19192.0303,86986.7375,44.8138,11492.7798,19121.775,19192.0303,86986.7375,44.8138
686,686,50,1,0,0,0,0,0,0,0,1,0,0,1,1.1,1,0,31888.3635,0,31888.3635,31888.3635,2.0492305135383297,26518.6704,0,24886.9283,0.0,2.719862827796754,2.719862827796754,0.0,2.719862827796754,2.719862827796754,2042.0,2042.0,6.1895,6.1895,9.2095,9.2095,8159.1153,23790.3396,16862.8304,80772.9484,72.2996,8159.1153,23790.3396,16862.8304,80772.9484,72.2996
687,687,50,1,0,0,0,0,0,0,0,1,0,1,1,1.1,1,0,49897.5833,0,49897.5833,49897.5833,2.2605050969315825,37401.3584,0,45347.6134,0.0,4.723073517636459,4.723073517636459,0.0,4.723073517636459,4.723073517636459,2045.0,2045.0,7.2382,7.2382,7.3255,7.3255,15001.1819,34063.9798,27104.2624,126141.697,74.6897,15001.1819,34063.9798,27104.2624,126141.697,74.6897
688,688,50,1,0,0,0,0,0,0,0,0,1,0,1,1.1,1,0,34546.1628,0,34546.1628,34546.1628,2.1092265754070603,27997.1075,0,29292.5617,0.0,3.031125980995417,3.031125980995417,0.0,3.031125980995417,3.031125980995417,2043.0,2043.0,6.9807,6.9807,8.7124,8.7124,9984.9353,25071.8255,18336.3659,88005.0164,65.7269,9984.9353,25071.8255,18336.3659,88005.0164,65.7269
689,689,50,1,0,0,0,0,0,0,0,0,1,1,1,1.1,1,0,52625.616,0,52625.616,52625.616,2.2959830277971065,38879.7955,0,49753.2468,0.0,5.023654402029095,5.023654402029095,0.0,5.023654402029095,5.023654402029095,2045.0,2045.0,7.5358,7.5358,7.1644,7.1644,16717.8568,35345.4657,28525.9041,133289.5323,74.6897,16717.8568,35345.4657,28525.9041,133289.5323,74.6897
690,690,50,1,0,0,0,0,0,1,0,0,0,0,1,1.1,1,0,26055.4255,0,26055.4255,26055.4255,2.7807910518037615,14630.0021,0,22441.7551,0.0,1.8374642772090697,1.8374642772090697,0.0,1.8374642772090697,1.8374642772090697,2038.0,2038.0,7.2637,7.2637,7.564,7.564,7734.0394,13949.1597,12733.8289,60525.3803,52.9269,7734.0394,13949.1597,12733.8289,60525.3803,52.9269
691,691,50,1,0,0,0,0,0,1,0,0,0,1,1,1.1,1,0,43936.083,0,43936.083,43936.083,2.7542125880527024,25512.6901,0,42902.4401,0.0,3.819867783355095,3.819867783355095,0.0,3.819867783355095,3.819867783355095,2044.0,2044.0,8.2532,8.2532,6.1712,6.1712,14901.6806,24222.7998,22779.2085,105892.0548,52.2828,14901.6806,24222.7998,22779.2085,105892.0548,52.2828
692,692,50,1,0,0,0,0,0,1,0,1,0,0,1,1.1,1,0,38790.3113,0,38790.3113,38790.3113,2.048043020704939,31868.6704,0,32601.3078,0.0,3.26591792598459,3.26591792598459,0.0,3.26591792598459,3.26591792598459,2041.0,2041.0,6.7052,6.7052,9.2309,9.2309,11323.0365,28891.3645,20379.6996,99473.8827,89.4708,11323.0365,28891.3645,20379.6996,99473.8827,89.4708
693,693,50,1,0,0,0,0,0,1,0,1,0,1,1,1.1,1,0,56751.6303,0,56751.6303,56751.6303,2.2308616476741725,42751.3584,0,53061.9928,0.0,5.256611612912153,5.256611612912153,0.0,5.256611612912153,5.256611612912153,2044.0,2044.0,7.4299,7.4299,7.5501,7.5501,18192.4785,39165.0047,30620.0661,144818.8072,89.6276,18192.4785,39165.0047,30620.0661,144818.8072,89.6276
694,694,50,1,0,0,0,0,0,1,0,0,1,0,1,1.1,1,0,41433.4289,0,41433.4289,41433.4289,2.0978682777706346,33347.1075,0,37006.9412,0.0,3.578449927826857,3.578449927826857,0.0,3.578449927826857,3.578449927826857,2042.0,2042.0,7.3499,7.3499,8.8036,8.8036,13178.9057,30172.8504,21865.5506,106732.0727,81.3371,13178.9057,30172.8504,21865.5506,106732.0727,81.3371
695,695,50,1,0,0,0,0,0,1,0,0,1,1,1,1.1,1,0,59409.9235,0,59409.9235,59409.9235,2.2628505470615363,44229.7955,0,57467.6262,0.0,5.596546385652365,5.596546385652365,0.0,5.596546385652365,5.596546385652365,2045.0,2045.0,7.9361,7.9361,7.3325,7.3325,20148.8609,40446.4906,32113.3297,152200.0843,81.4796,20148.8609,40446.4906,32113.3297,152200.0843,81.4796
696,696,50,1,0,0,0,0,0,0,1,0,0,0,1,1.1,1,0,24193.3847,0,24193.3847,24193.3847,2.6771183344852774,14125.7707,0,24403.7074,0.0,1.7488244211004857,1.7488244211004857,0.0,1.7488244211004857,1.7488244211004857,2037.0,2037.0,7.9899,7.9899,7.6734,7.6734,8400.4044,13468.3939,11862.0451,57982.4476,58.2196,8400.4044,13468.3939,11862.0451,57982.4476,58.2196
697,697,50,1,0,0,0,0,0,0,1,0,0,1,1,1.1,1,0,42001.5792,0,42001.5792,42001.5792,2.688424269719437,25008.4587,0,44864.3924,0.0,3.7056451688732768,3.7056451688732768,0.0,3.7056451688732768,3.7056451688732768,2043.0,2043.0,8.58,8.58,6.2423,6.2423,15616.6491,23742.0341,21826.9898,103244.7632,57.511,15616.6491,23742.0341,21826.9898,103244.7632,57.511
698,698,50,1,0,0,0,0,0,0,1,1,0,0,1,1.1,1,0,36844.8261,0,36844.8261,36844.8261,1.9826019083961381,31364.439,0,34563.2601,0.0,3.1878926216572867,3.1878926216572867,0.0,3.1878926216572867,3.1878926216572867,2041.0,2041.0,7.3665,7.3665,9.3086,9.3086,12237.104,28410.5987,19482.8767,97064.8763,89.4708,12237.104,28410.5987,19482.8767,97064.8763,89.4708
699,699,50,1,0,0,0,0,0,0,1,1,0,1,1,1.1,1,0,54780.4966,0,54780.4966,54780.4966,2.1839980208576844,42247.127,0,55023.9451,0.0,5.17530625589934,5.17530625589934,0.0,5.17530625589934,5.17530625589934,2044.0,2044.0,7.8676,7.8676,7.5773,7.5773,19125.832,38684.2389,29705.2828,142385.4779,89.6276,19125.832,38684.2389,29705.2828,142385.4779,89.6276
700,700,50,1,0,0,0,0,0,0,1,0,1,0,1,1.1,1,0,39532.0699,0,39532.0699,39532.0699,2.03568453661376,32842.8761,0,38968.8935,0.0,3.4731868638340413,3.4731868638340413,0.0,3.4731868638340413,3.4731868638340413,2041.0,2041.0,7.7,7.7,8.9438,8.9438,13880.7657,29692.0846,20911.4753,104105.8664,89.4708,13880.7657,29692.0846,20911.4753,104105.8664,89.4708
701,701,50,1,0,0,0,0,0,0,1,0,1,1,1,1.1,1,0,57501.1737,0,57501.1737,57501.1737,2.217609418050736,43725.5641,0,59429.5785,0.0,5.472420653683194,5.472420653683194,0.0,5.472420653683194,5.472420653683194,2044.0,2044.0,8.0941,8.0941,7.4207,7.4207,20828.2146,39965.7248,31127.8043,149512.545,89.6276,20828.2146,39965.7248,31127.8043,149512.545,89.6276
702,702,50,1,0,0,0,0,1,0,0,0,0,0,1,1.1,1,0,16825.5812,0,16825.5812,16825.5812,1.8436249631941366,14639.9701,0,24892.2845,0.0,1.5145086874476679,1.5145086874476679,0.0,1.5145086874476679,1.5145086874476679,2038.0,2038.0,10.1552,10.1552,9.1832,9.1832,8833.5405,13958.6638,8909.5797,48567.0604,39.6952,8833.5405,13958.6638,8909.5797,48567.0604,39.6952
703,703,50,1,0,0,0,0,1,0,0,0,0,1,1,1.1,1,0,34634.2546,0,34634.2546,34634.2546,2.213164115337936,25522.6582,0,45352.9695,0.0,3.500641036269423,3.500641036269423,0.0,3.500641036269423,3.500641036269423,2044.0,2044.0,9.6233,9.6233,6.7188,6.7188,16057.9684,24232.304,18995.1383,93964.479,44.8138,16057.9684,24232.304,18995.1383,93964.479,44.8138
704,704,50,1,0,0,0,0,1,0,0,1,0,0,1,1.1,1,0,29514.5948,0,29514.5948,29514.5948,1.5946562992043276,31878.6384,0,35051.8371,0.0,2.9444759824392093,2.9444759824392093,0.0,2.9444759824392093,2.9444759824392093,2041.0,2041.0,8.1816,8.1816,10.2364,10.2364,12462.5869,28900.8686,16572.5669,87530.1468,79.5296,12462.5869,28900.8686,16572.5669,87530.1468,79.5296
