,ID,E_Brent,C_polimero,PPM,Costo_Kw_hr,reg_f,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
35,35,40,2.5,150,424,0,0,60286.3518,0,32026.5368,32026.5368,1.379613174036221,44940.4008,0,51908.0498,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,4.4424,4.4424,3.8461,3.8461,42938.9019,42848.9909,38528.128,184602.3727,0,42938.9019,42848.9909,27088.5081,144902.9377,0
36,36,45,2.5,150,424,0,0,60286.3518,0,46174.0809,46174.0809,1.842861265949051,44940.4008,0,51908.0498,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,4.4424,4.4424,3.8461,3.8461,42938.9019,42848.9909,38528.128,184602.3727,0,42938.9019,42848.9909,32790.6815,164752.6552,0
37,37,50,2.5,150,424,0,0,60286.3518,0,60286.3518,60286.3518,2.3061093578618825,44940.4008,0,51908.0498,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,4.4424,4.4424,3.8461,3.8461,42938.9019,42848.9909,38528.128,184602.3727,0,42938.9019,42848.9909,38528.128,184602.3727,0
38,38,55,2.5,150,424,0,0,60286.3518,0,74398.6228,74398.6228,2.7693574497747147,44940.4008,0,51908.0498,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,4.4424,4.4424,3.8461,3.8461,42938.9019,42848.9909,38528.128,184602.3727,0,42938.9019,42848.9909,44265.5745,204452.0902,0
39,39,60,2.5,150,424,0,0,60286.3518,0,88454.5836,88454.5836,3.2326055416875454,44940.4008,0,51908.0498,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,4.4424,4.4424,3.8461,3.8461,42938.9019,42848.9909,38528.128,184602.3727,0,42938.9019,42848.9909,50059.3312,224301.8076,0
40,40,25,2.5,150,484,0,0,57494.0563,0,-14034.0876,-14034.0876,0.0,44940.4008,0,56300.2109,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,4.8183,4.8183,3.8461,3.8461,46589.2866,42848.9909,37670.0388,184602.3727,0,46589.2866,42848.9909,9949.5953,85353.7852,0
41,41,30,2.5,150,484,0,0,57494.0563,0,514.7416,514.7416,0.3679251590388084,44940.4008,0,56300.2109,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,4.8183,4.8183,3.8461,3.8461,46589.2866,42848.9909,37670.0388,184602.3727,0,46589.2866,42848.9909,15250.4836,105203.5027,0
42,42,35,2.5,150,484,0,0,57494.0563,0,14909.0109,14909.0109,0.8311732509516397,44940.4008,0,56300.2109,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,4.8183,4.8183,3.8461,3.8461,46589.2866,42848.9909,37670.0388,184602.3727,0,46589.2866,42848.9909,20705.9317,125053.2202,0
43,43,40,2.5,150,484,0,0,57494.0563,0,29156.2331,29156.2331,1.2944213428644709,44940.4008,0,56300.2109,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,4.8183,4.8183,3.8461,3.8461,46589.2866,42848.9909,37670.0388,184602.3727,0,46589.2866,42848.9909,26308.427,144902.9377,0
44,44,45,2.5,150,484,0,0,57494.0563,0,43381.7853,43381.7853,1.757669434777301,44940.4008,0,56300.2109,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,4.8183,4.8183,3.8461,3.8461,46589.2866,42848.9909,37670.0388,184602.3727,0,46589.2866,42848.9909,31932.5923,164752.6552,0
45,45,50,2.5,150,484,0,0,57494.0563,0,57494.0563,57494.0563,2.220917526690133,44940.4008,0,56300.2109,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,4.8183,4.8183,3.8461,3.8461,46589.2866,42848.9909,37670.0388,184602.3727,0,46589.2866,42848.9909,37670.0388,184602.3727,0
46,46,55,2.5,150,484,0,0,57494.0563,0,71606.3272,71606.3272,2.6841656186029645,44940.4008,0,56300.2109,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,4.8183,4.8183,3.8461,3.8461,46589.2866,42848.9909,37670.0388,184602.3727,0,46589.2866,42848.9909,43407.4854,204452.0902,0
47,47,60,2.5,150,484,0,0,57494.0563,0,85718.5982,85718.5982,3.1474137105157958,44940.4008,0,56300.2109,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,4.8183,4.8183,3.8461,3.8461,46589.2866,42848.9909,37670.0388,184602.3727,0,46589.2866,42848.9909,49144.9319,224301.8076,0
48,48,25,2.5,350,184,0,0,66016.5968,0,-4889.5579,-4889.5579,0.16567233194888928,44940.4008,0,42842.6823,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,3.6666,3.6666,3.8461,3.8461,35405.9005,42848.9909,40330.8844,184602.3727,0,35405.9005,42848.9909,11988.4517,85353.7852,0
49,49,30,2.5,350,184,0,0,66016.5968,0,9455.0158,9455.0158,0.6289204238617204,44940.4008,0,42842.6823,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,3.6666,3.6666,3.8461,3.8461,35405.9005,42848.9909,40330.8844,184602.3727,0,35405.9005,42848.9909,17493.5954,105203.5027,0
50,50,35,2.5,350,184,0,0,66016.5968,0,23702.238,23702.238,1.0921685157745515,44940.4008,0,42842.6823,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,3.6666,3.6666,3.8461,3.8461,35405.9005,42848.9909,40330.8844,184602.3727,0,35405.9005,42848.9909,23096.0907,125053.2202,0
51,51,40,2.5,350,184,0,0,66016.5968,0,37823.7255,37823.7255,1.5554166076873828,44940.4008,0,42842.6823,0.0,10.514454128586427,10.514454128586427,0.0,10.514454128586427,10.514454128586427,2055.0,2055.0,3.6666,3.6666,3.8461,3.8461,35405.9005,42848.9909,40330.8844,184602.3727,0,35405.9005,42848.9909,28824.3207,144902.9377,0
