,ID,E_Brent,NE_C1,M1_C1,M2_C1,SW_C1,costo_gel,capex_h,opex_h,produc_h,costo_gel_p,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
115,115,50,0,0,1,1,4.2,1,1,1.1,1,0,5236.9086,0,5255.0602,5255.0602,8.598303027312541,1844.1187,0,97.5092,0.0,0.44278307714620824,0.44278307714620824,0.0,0.44278307714620824,0.44278307714620824,2056.0,2056.0,0.18,0.18,1.7195,1.7195,39.8264,879.1491,2295.0689,8450.9529,0,39.8264,879.1491,2302.8482,8476.8838,0
116,116,50,0,1,0,0,4.2,1,1,1.1,1,0,3447.7879,0,3462.2075,3462.2075,4.991397488035813,2107.5643,0,71.4101,0.0,0.3261676834767582,0.3261676834767582,0.0,0.3261676834767582,0.3261676834767582,2056.0,2056.0,0.18,0.18,2.6816,2.6816,28.2129,1004.7418,1547.9671,6028.7098,0,28.2129,1004.7418,1554.147,6049.3092,0
117,117,50,0,1,0,1,4.2,1,1,1.1,1,0,4161.4882,0,4175.9078,4175.9078,5.347291227286246,2371.0098,0,85.34,0.0,0.38745253844509164,0.38745253844509164,0.0,0.38745253844509164,0.38745253844509164,2056.0,2056.0,0.18,0.18,2.5246,2.5246,33.9023,1130.3346,1860.3514,7186.0766,0,33.9023,1130.3346,1866.5313,7206.676,0
118,118,50,0,1,1,0,4.2,1,1,1.1,1,0,7973.1873,0,8005.7586,8005.7586,6.568929593359642,3688.2374,0,154.9894,0.0,0.7076659056546332,0.7076659056546332,0.0,0.7076659056546332,0.7076659056546332,2056.0,2056.0,0.18,0.18,2.1629,2.1629,62.3498,1758.2982,3528.4606,13322.2959,0,62.3498,1758.2982,3542.4197,13368.8262,0
119,119,50,0,1,1,1,4.2,1,1,1.1,1,0,8686.4972,0,8719.0684,8719.0684,6.674237174354411,3951.683,0,168.9193,0.0,0.7689507606229663,0.7689507606229663,0.0,0.7689507606229663,0.7689507606229663,2056.0,2056.0,0.18,0.18,2.1264,2.1264,68.0392,1883.8909,3841.2353,14479.6627,0,68.0392,1883.8909,3855.1944,14526.193,0
120,120,50,1,0,0,0,4.2,1,1,1.1,1,0,1507.9058,0,1513.9563,1513.9563,8.67440072994722,526.8911,0,27.8598,0.0,0.1271660740592917,0.1271660740592917,0.0,0.1271660740592917,0.1271660740592917,2056.0,2056.0,0.18,0.18,1.7195,1.7195,11.379,251.1855,660.7252,2431.1954,0,11.379,251.1855,663.3183,2439.839,0
121,121,50,1,0,0,1,4.2,1,1,1.1,1,0,2221.097,0,2227.1476,2227.1476,8.496973990913046,790.3366,0,41.7897,0.0,0.18845092902762503,0.18845092902762503,0.0,0.18845092902762503,0.18845092902762503,2056.0,2056.0,0.18,0.18,1.7195,1.7195,17.0684,376.7782,973.6185,3588.5622,0,17.0684,376.7782,976.2116,3597.2058,0
122,122,50,1,0,1,0,4.2,1,1,1.1,1,0,6031.6231,0,6055.8252,6055.8252,8.66576948543981,2107.5643,0,111.4391,0.0,0.5086642962371668,0.5086642962371668,0.0,0.5086642962371668,0.5086642962371668,2056.0,2056.0,0.18,0.18,1.7195,1.7195,45.5158,1004.7418,2642.9008,9724.7815,0,45.5158,1004.7418,2653.2731,9759.356,0
123,123,50,1,0,1,1,4.2,1,1,1.1,1,0,6744.8143,0,6769.0165,6769.0165,8.615206145331396,2371.0098,0,125.369,0.0,0.5699491512055002,0.5699491512055002,0.0,0.5699491512055002,0.5699491512055002,2056.0,2056.0,0.18,0.18,1.7195,1.7195,51.2053,1130.3346,2955.7941,10882.1483,0,51.2053,1130.3346,2966.1664,10916.7228,0
124,124,50,1,1,0,0,4.2,1,1,1.1,1,0,4956.569,0,4977.0391,4977.0391,5.727411670933711,2634.4553,0,99.2699,0.0,0.45333375753604993,0.45333375753604993,0.0,0.45333375753604993,0.45333375753604993,2056.0,2056.0,0.18,0.18,2.4117,2.4117,39.5918,1255.9273,2207.817,8459.9051,0,39.5918,1255.9273,2216.59,8489.1482,0
