,ID,E_Brent,NE_C1,NE_C2,NE_C3,NE_C4,NE_C5,M1_C1,M2_C1,M2_C2,B44_C1,B44_C2,SW_C1,reg_f,Oil,Gas_Prod,Gross_Fluid,Water_Injected,Producer_Well,Water_Injection_Well,total_opex,Perforacion,Facilidades,Abandono,total_capex,VPN_Total,volumen_T_LE_p
62,62,55,1,0,0,0,0,1,1,0,1,0,0,0,0,0,7745.5366,16331.6221,8084.7,6716.52,38878.3787,28640,8187.7691,474.3,37302.0691,45839.2334,3557.075329733415
63,63,55,1,0,0,0,0,1,1,0,1,0,1,0,0,0,13152.5993,24487.7921,9763.83,10074.78,57479.0015,36870,10840.4572,632.4,48342.8572,68425.5679,5657.796613411849
64,64,55,1,0,0,0,0,1,1,0,0,1,0,0,0,0,8579.8081,19502.4719,8084.7,6716.52,42883.5,29560,8746.2062,474.3,38780.5062,49156.4397,3878.6635352445123
65,65,55,1,0,0,0,0,1,1,0,0,1,1,0,0,0,13986.8709,27658.6419,9763.83,10074.78,61484.1227,37790,11398.8943,632.4,49821.2943,71782.779,5966.707144184526
66,66,55,1,0,0,0,0,1,0,1,0,0,0,0,0,0,7344.4398,17365.0549,1679.13,5037.39,31426.0147,14330,5155.7387,210.8,19696.5387,27622.7323,1978.854732765841
67,67,55,1,0,0,0,0,1,0,1,0,0,1,0,0,0,12751.5026,25521.2249,3358.26,8395.65,50026.6375,22560,7808.4268,368.9,30737.3268,49932.6884,4070.7465443529777
68,68,55,1,0,0,0,0,1,0,1,1,0,0,0,0,0,8495.6968,17365.0549,9763.83,5037.39,40661.9717,28040,8684.407,474.3,37198.707,43484.7632,3476.7029258209086
69,69,55,1,0,0,0,0,1,0,1,1,0,1,0,0,0,13902.7595,25521.2249,11442.96,8395.65,59262.5944,36270,11337.095,632.4,48239.495,66008.8942,5575.2315814021595
70,70,55,1,0,0,0,0,1,0,1,0,1,0,0,0,0,9329.9683,20535.9046,9763.83,5037.39,44667.0929,28960,9242.8441,474.3,38677.1441,46792.5662,3768.7367980977733
71,71,55,1,0,0,0,0,1,0,1,0,1,1,0,0,0,14737.0311,28692.0746,11442.96,8395.65,63267.7157,37190,11895.5322,632.4,49717.9322,69362.7357,5884.142112174836
72,72,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,868.8675,2156.22,3358.26,1679.13,8062.4775,7650,2150.3763,158.1,9958.4763,18487.0799,1082.5322097414348
73,73,55,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6275.9303,10312.39,5037.39,5037.39,26663.1003,15880,4803.0643,316.2,20999.2643,41231.1356,3147.1697846668903
74,74,55,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2020.1245,2156.22,11442.96,1679.13,17298.4345,21360,5679.0445,421.6,27460.6445,34552.6853,2563.429758772291
75,75,55,0,1,0,0,0,0,0,0,1,0,1,0,0,0,7427.1873,10312.39,13122.09,5037.39,35899.0573,29590,8331.7326,579.7,38501.4326,57258.4562,4630.900592865606
76,76,55,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2854.396,5327.0697,11442.96,1679.13,21303.5558,22280,6237.4817,421.6,28939.0817,37908.1574,2885.402479157071
77,77,55,0,1,0,0,0,0,0,0,0,1,1,0,0,0,8261.4588,13483.2397,13122.09,5037.39,39904.1785,30510,8890.1697,579.7,39979.8697,60672.8206,4974.129923158733
78,78,55,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2585.795,5773.2348,3358.26,3358.26,15075.5497,11750,2999.507,210.8,14960.307,27354.3205,1631.49458422839
79,79,55,0,1,0,0,0,0,1,0,0,0,1,0,0,0,7992.8577,13929.4048,5037.39,6716.52,33676.1725,19980,5652.195,368.9,26001.095,49997.0436,3699.186233365988
80,80,55,0,1,0,0,0,0,1,0,1,0,0,0,0,0,3737.0519,5773.2348,11442.96,3358.26,24311.5067,25460,6528.1752,474.3,32462.4752,43366.169,3122.1472347783942
81,81,55,0,1,0,0,0,0,1,0,1,0,1,0,0,0,9144.1147,13929.4048,13122.09,6716.52,42912.1295,33690,9180.8633,632.4,43503.2633,66042.4696,5207.166313757055
82,82,55,0,1,0,0,0,0,1,0,0,1,0,0,0,0,4571.3235,8944.0845,11442.96,3358.26,28316.628,26380,7086.6124,474.3,33940.9124,46704.9208,3443.4661780424253
83,83,55,0,1,0,0,0,0,1,0,0,1,1,0,0,0,9978.3863,17100.2545,13122.09,6716.52,46917.2507,34610,9739.3004,632.4,44981.7004,69413.5994,5519.090341276684
84,84,55,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3335.9552,6806.6676,5037.39,1679.13,16859.1427,11150,3496.1449,210.8,14856.9449,25036.4877,1545.4554630310308
85,85,55,0,1,0,0,0,0,0,1,0,0,1,0,0,0,8743.0179,14962.8376,6716.52,5037.39,35459.7655,19380,6148.8329,368.9,25897.7329,47571.5655,3616.621201356298
86,86,55,0,1,0,0,0,0,0,1,1,0,0,0,0,0,4487.2121,6806.6676,13122.09,1679.13,26095.0997,24860,7024.8131,474.3,32359.1131,40963.7617,3039.5822027687045
87,87,55,0,1,0,0,0,0,0,1,1,0,1,0,0,0,9894.2749,14962.8376,14801.22,5037.39,44695.7225,33090,9677.5012,632.4,43399.9012,63624.3602,5124.601281747365
88,88,55,0,1,0,0,0,0,0,1,0,1,0,0,0,0,5321.4837,9977.5173,13122.09,1679.13,30100.221,25780,7583.2503,474.3,33837.5503,44299.5363,3360.9011460327347
89,89,55,0,1,0,0,0,0,0,1,0,1,1,0,0,0,10728.5464,18133.6873,14801.22,5037.39,48700.8437,34010,10235.9383,632.4,44878.3383,66993.1266,5436.525309266994
90,90,55,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3883.8763,8382.0374,3358.26,1679.13,17303.3037,11580,3580.3443,158.1,15318.4443,16984.0458,1308.7581794003884
91,91,55,0,1,0,0,0,1,0,0,0,0,1,0,0,0,9290.9391,16538.2074,5037.39,5037.39,35903.9264,19810,6233.0323,316.2,26359.2323,39548.5461,3381.604647505001
92,92,55,0,1,0,0,0,1,0,0,1,0,0,0,0,0,5035.1333,8382.0374,11442.96,1679.13,26539.2607,25290,7109.0126,421.6,32820.6126,32943.7657,2803.4595974771646
93,93,55,0,1,0,0,0,1,0,0,1,0,1,0,0,0,10442.1961,16538.2074,13122.09,5037.39,45139.8834,33520,9761.7006,579.7,43861.4006,55555.8669,4890.11340172435
94,94,55,0,1,0,0,0,1,0,0,0,1,0,0,0,0,5869.4048,11552.8871,11442.96,1679.13,30544.3819,26210,7667.4497,421.6,34299.0497,36279.6878,3125.3273622729557
95,95,55,0,1,0,0,0,1,0,0,0,1,1,0,0,0,11276.4676,19709.0571,13122.09,5037.39,49145.0047,34440,10320.1377,579.7,45339.8377,58966.4882,5202.037429243977
96,96,55,0,1,0,0,0,1,1,0,0,0,0,0,0,0,5600.8038,11999.0521,3358.26,3358.26,24316.3759,15680,4429.475,210.8,20320.275,25883.7308,1871.8057565717488
