,ID,E_Brent,NE_C1,M1_C1,M2_C1,SW_C1,costo_gel,reg_f,Oil,Gas_Prod,Gross_Fluid,Water_Injected,Producer_Well,Water_Injection_Well,total_opex,Perforacion,Facilidades,Abandono,total_capex,VPN_Total,volumen_T_LE_p,Payout
16,16,50,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0
17,17,50,0,0,0,1,4.2,0,0,0,12.6635,0,0,0,12.6635,263.4455,0,0,263.4455,750.3786,64.07053019416666,6.0
18,18,50,0,0,1,0,4.2,0,0,0,75.9812,0,0,0,75.9812,1580.6732,0,0,1580.6732,4732.7942,396.95871968125,6.0
19,19,50,0,0,1,1,4.2,0,0,0,88.6447,0,0,0,88.6447,1844.1187,0,0,1844.1187,5483.1729,461.0292498754166,6.0
20,20,50,0,1,0,0,4.2,0,0,0,64.9183,0,0,0,64.9183,2107.5643,0,0,2107.5643,3620.6058,339.3858699922456,7.0
21,21,50,0,1,0,1,4.2,0,0,0,77.5818,0,0,0,77.5818,2371.0098,0,0,2371.0098,4371.4935,403.4564001864123,6.0
22,22,50,0,1,1,0,4.2,0,0,0,140.8995,0,0,0,140.8995,3688.2374,0,0,3688.2374,8355.0822,736.3445896734956,6.0
23,23,50,0,1,1,1,4.2,0,0,0,153.563,0,0,0,153.563,3951.683,0,0,3951.683,9105.5794,800.4151198676623,6.0
24,24,50,1,0,0,0,4.2,0,0,0,25.3271,0,0,0,25.3271,526.8911,0,0,526.8911,1577.5981,132.31957322708337,6.0
25,25,50,1,0,0,1,4.2,0,0,0,37.9906,0,0,0,37.9906,790.3366,0,0,790.3366,2327.9767,196.39010342124996,6.0
26,26,50,1,0,1,0,4.2,0,0,0,101.3082,0,0,0,101.3082,2107.5643,0,0,2107.5643,6310.3923,529.2782929083335,6.0
27,27,50,1,0,1,1,4.2,0,0,0,113.9718,0,0,0,113.9718,2371.0098,0,0,2371.0098,7060.7709,593.3488231025,6.0
28,28,50,1,1,0,0,4.2,0,0,0,90.2453,0,0,0,90.2453,2634.4553,0,0,2634.4553,5199.0792,471.70544321932886,6.0
29,29,50,1,1,0,1,4.2,0,0,0,102.9089,0,0,0,102.9089,2897.9009,0,0,2897.9009,5949.734,535.7759734134954,6.0
30,30,50,1,1,1,0,4.2,0,0,0,166.2265,0,0,0,166.2265,4215.1285,0,0,4215.1285,9932.8993,868.6641629005791,6.0
31,31,50,1,1,1,1,4.2,0,0,0,178.8901,0,0,0,178.8901,4478.574,0,0,4478.574,10683.3642,932.7346930947455,6.0
32,32,50,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0
33,33,50,0,0,0,1,5.4,0,0,0,12.6635,0,0,0,12.6635,277.0672,0,0,277.0672,745.5709,64.07053019416666,6.0
34,34,50,0,0,1,0,5.4,0,0,0,75.9812,0,0,0,75.9812,1662.4033,0,0,1662.4033,4703.9476,396.95871968125,6.0
35,35,50,0,0,1,1,5.4,0,0,0,88.6447,0,0,0,88.6447,1939.4706,0,0,1939.4706,5449.5185,461.0292498754166,6.0
36,36,50,0,1,0,0,5.4,0,0,0,64.9183,0,0,0,64.9183,2216.5378,0,0,2216.5378,3581.694,339.3858699922456,7.0
37,37,50,0,1,0,1,5.4,0,0,0,77.5818,0,0,0,77.5818,2493.605,0,0,2493.605,4327.8003,403.4564001864123,7.0
38,38,50,0,1,1,0,5.4,0,0,0,140.8995,0,0,0,140.8995,3878.9411,0,0,3878.9411,8287.4108,736.3445896734956,6.0
39,39,50,0,1,1,1,5.4,0,0,0,153.563,0,0,0,153.563,4156.0084,0,0,4156.0084,9033.1063,800.4151198676623,6.0
40,40,50,1,0,0,0,5.4,0,0,0,25.3271,0,0,0,25.3271,554.1344,0,0,554.1344,1567.9825,132.31957322708337,6.0
41,41,50,1,0,0,1,5.4,0,0,0,37.9906,0,0,0,37.9906,831.2017,0,0,831.2017,2313.5534,196.39010342124996,6.0
42,42,50,1,0,1,0,5.4,0,0,0,101.3082,0,0,0,101.3082,2216.5378,0,0,2216.5378,6271.9302,529.2782929083335,6.0
43,43,50,1,0,1,1,5.4,0,0,0,113.9718,0,0,0,113.9718,2493.605,0,0,2493.605,7017.5011,593.3488231025,6.0
